"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000174871.11" -0.439686818759506 1.60153152404067 -5.82428629465169 7.56670477642594e-09 1.4491259233846e-06 9.85743399408818 "ENSG00000174871.11" "CNIH2"
"ENSG00000104237.11" -0.742953875607099 -0.156096809439043 -5.821787935466 7.67720294799614e-09 1.4491259233846e-06 9.78864491030893 "ENSG00000104237.11" "RP1"
"ENSG00000224650.2" -0.882104941012142 1.9847815504733 -5.81942980415961 7.78293958713727e-09 1.4491259233846e-06 9.83095413837235 "ENSG00000224650.2" "IGHV3-74"
"ENSG00000149970.16" -0.493056623960924 -0.45457025781168 -5.81831776569253 7.83329318370092e-09 1.4491259233846e-06 9.80728073085587 "ENSG00000149970.16" "CNKSR2"
"ENSG00000152583.12" -0.334266031459446 7.72565498941113 -5.81735514201692 7.87713723867344e-09 1.4491259233846e-06 9.67360052788434 "ENSG00000152583.12" "SPARCL1"
"ENSG00000182916.8" -0.386058168160537 0.378740840634285 -5.81712163074514 7.88780879783789e-09 1.4491259233846e-06 9.78049192556546 "ENSG00000182916.8" "TCEAL7"
"ENSG00000211965.4" -0.983648823072353 1.11923779425756 -5.79515023090196 8.95746051409724e-09 1.62918291830401e-06 9.69518553908379 "ENSG00000211965.4" "IGHV3-49"
"ENSG00000243836.5" -0.534735895689322 -1.31712858386301 -5.79047913526216 9.20242996658755e-09 1.65716629932965e-06 9.62487535219242 "ENSG00000243836.5" "WDR86-AS1"
"ENSG00000133069.17" -0.353831958557093 1.18289124747481 -5.77007508090283 1.03511484431649e-08 1.84575184200278e-06 9.55526259246206 "ENSG00000133069.17" "TMCC2"
"ENSG00000211669.3" -1.04614083122107 0.833853340484108 -5.767211785344 1.05231223154386e-08 1.85819950168152e-06 9.53952002264297 "ENSG00000211669.3" "IGLV3-10"
"ENSG00000269918.1" -0.527541055848782 -0.437403729948284 -5.76350968016306 1.07496028522338e-08 1.87173726047368e-06 9.49007720172536 "ENSG00000269918.1" "AF131215.6"
"ENSG00000139174.12" -0.342214604558849 3.31680941040372 -5.7626059033471 1.0805608772253e-08 1.87173726047368e-06 9.47304653591265 "ENSG00000139174.12" "PRICKLE1"
"ENSG00000105270.15" -0.308050303446088 3.88870537328522 -5.76067922635211 1.09259521391561e-08 1.87472846704689e-06 9.47900795785988 "ENSG00000105270.15" "CLIP3"
"ENSG00000138615.6" -0.739230046831526 6.30879568462383 -5.75842226744185 1.10685848681414e-08 1.88145253814725e-06 9.40965207450029 "ENSG00000138615.6" "CILP"
"ENSG00000168143.9" -0.723398464743748 1.62898148144158 -5.7438346153878 1.20351630683905e-08 2.02681061007302e-06 9.41241388935966 "ENSG00000168143.9" "FAM83B"
"ENSG00000211625.2" -0.941180462355704 0.0292124436717593 -5.73494155615773 1.2664202871641e-08 2.11317909935235e-06 9.35174046518471 "ENSG00000211625.2" "IGKV3D-20"
"ENSG00000119771.15" -0.370547337731361 1.71669984822584 -5.7305647126939 1.29854273242136e-08 2.13193113492569e-06 9.34801832754008 "ENSG00000119771.15" "KLHL29"
"ENSG00000211664.3" -0.942512370833496 -0.764416416548625 -5.73022059994305 1.3011015833338e-08 2.13193113492569e-06 9.3121321602095 "ENSG00000211664.3" "IGLV2-18"
"ENSG00000118495.20" -0.337582214455879 3.26307334618202 -5.7175485519111 1.39882563543405e-08 2.27159291582807e-06 9.21888865051563 "ENSG00000118495.20" "PLAGL1"
"ENSG00000046653.15" -0.30589570890608 3.43864136832249 -5.7121017809941 1.44299101141592e-08 2.30145123196256e-06 9.16327667801977 "ENSG00000046653.15" "GPM6B"
"ENSG00000116729.14" -0.464757050036922 5.10187129990128 -5.71071882463415 1.45441893901685e-08 2.30145123196256e-06 9.16211965751421 "ENSG00000116729.14" "WLS"
"ENSG00000211895.5" -0.895656243012007 7.79482401318657 -5.71062792617695 1.4551731453469e-08 2.30145123196256e-06 9.08918894964537 "ENSG00000211895.5" "IGHA1"
"ENSG00000064300.9" -0.656857446930886 2.74099004590977 -5.69602076241563 1.581446248278e-08 2.4795986520414e-06 9.16023626826706 "ENSG00000064300.9" "NGFR"
"ENSG00000211943.2" -0.917412705982128 2.34797336598175 -5.68241883539044 1.7085718214061e-08 2.65602600749865e-06 9.08075265289073 "ENSG00000211943.2" "IGHV3-15"
"ENSG00000134744.14" -0.301500742139293 4.44483966904294 -5.67783312412313 1.75362943772283e-08 2.70296713672058e-06 8.94772132930276 "ENSG00000134744.14" "TUT4"
"ENSG00000186564.6" 0.537444848250945 0.464102395875151 5.67575902344912 1.77438636017136e-08 2.7119780772098e-06 9.02342341214632 "ENSG00000186564.6" "FOXD2"
"ENSG00000088756.13" -0.428216661474944 2.46889099294806 -5.66333071513792 1.90386210039477e-08 2.88562032349834e-06 8.98093266076399 "ENSG00000088756.13" "ARHGAP28"
"ENSG00000213533.13" 0.246745311117662 -0.355653592414085 5.65500879953371 1.99564490908515e-08 2.99973467821824e-06 8.91501082492148 "ENSG00000213533.13" "STIMATE"
"ENSG00000136158.12" -0.317636465087221 3.24131905141363 -5.65106102591446 2.04067576561269e-08 3.04227957581669e-06 8.88699875119998 "ENSG00000136158.12" "SPRY2"
"ENSG00000182771.19" -0.351613546111284 1.05356377277054 -5.6485959601605 2.06929325884369e-08 3.05986225949991e-06 8.89603910706691 "ENSG00000182771.19" "GRID1"
"ENSG00000157168.20" -0.692856484819061 1.35577144709772 -5.64464223692896 2.11600946319495e-08 3.10370807391853e-06 8.88242552675942 "ENSG00000157168.20" "NRG1"
"ENSG00000150627.16" -0.79353352633226 -0.0184805891456817 -5.64140564463056 2.15501396478255e-08 3.1356315193172e-06 8.84141722683983 "ENSG00000150627.16" "WDR17"
"ENSG00000180139.11" -0.518674819149713 0.0934373534973982 -5.6395876312178 2.17722865005469e-08 3.14281227676148e-06 8.83489497188149 "ENSG00000180139.11" "ACTA2-AS1"
"ENSG00000151914.20" -0.357828979229953 7.28206809421201 -5.63735057670743 2.20486930755511e-08 3.15765062722931e-06 8.68300907203419 "ENSG00000151914.20" "DST"
"ENSG00000211652.2" -0.931527009982144 -0.155333094492274 -5.63239545084566 2.26731399912206e-08 3.22171148562751e-06 8.80520771033133 "ENSG00000211652.2" "IGLV7-43"
"ENSG00000146006.8" -0.449597554790362 -1.61622849998303 -5.62586862340994 2.35219399570132e-08 3.31641119331903e-06 8.74645701247005 "ENSG00000146006.8" "LRRTM2"
"ENSG00000116141.17" -0.44234752182298 2.49761139772425 -5.61791443606933 2.45981824941612e-08 3.44147494772157e-06 8.73164415982185 "ENSG00000116141.17" "MARK1"
"ENSG00000132465.12" -0.850142716805829 5.55315749820835 -5.61611113771019 2.48487521571495e-08 3.4499931620934e-06 8.59195920621765 "ENSG00000132465.12" "JCHAIN"
"ENSG00000228223.3" -0.286423754167373 3.83568325071715 -5.59781190086118 2.75358911890791e-08 3.76920191535323e-06 8.55522898635309 "ENSG00000228223.3" "HCG11"
"ENSG00000149260.18" -0.319354249460727 3.18089235461534 -5.59700887621979 2.76600599679238e-08 3.76920191535323e-06 8.60892853611661 "ENSG00000149260.18" "CAPN5"
"ENSG00000149090.12" -0.447497525495105 2.04641583073445 -5.59630351272697 2.77695764601568e-08 3.76920191535323e-06 8.63062679035396 "ENSG00000149090.12" "PAMR1"
"ENSG00000255248.9" -0.396455752723795 3.25315087057763 -5.59398623138401 2.81323371908058e-08 3.79015517649168e-06 8.60583693600138 "ENSG00000255248.9" "MIR100HG"
"ENSG00000144868.14" -0.55948131476792 1.24505517436542 -5.59052725001649 2.86824066141398e-08 3.83585008454394e-06 8.60230354712301 "ENSG00000144868.14" "TMEM108"
"ENSG00000243238.1" -0.907837396902645 0.641862573459542 -5.58365593739532 2.98062962335321e-08 3.94056680913211e-06 8.56039423425297 "ENSG00000243238.1" "IGKV2-30"
"ENSG00000165633.13" -0.394964565597439 3.86964724226603 -5.58310202436516 2.9898736510899e-08 3.94056680913211e-06 8.54042862586846 "ENSG00000165633.13" "VSTM4"
"ENSG00000183496.6" -0.304632504279229 2.14540504708234 -5.58076788356961 3.02913408513632e-08 3.96358926190355e-06 8.54573502395346 "ENSG00000183496.6" "MEX3B"
"ENSG00000013297.12" -0.525043461120712 1.94816444856015 -5.560074264735 3.39982147529394e-08 4.41685378518901e-06 8.44097237397023 "ENSG00000013297.12" "CLDN11"
"ENSG00000077274.9" -0.806225218075533 0.688943065109117 -5.54648109452059 3.66691083586282e-08 4.73005491366475e-06 8.36483107421058 "ENSG00000077274.9" "CAPN6"
"ENSG00000158163.15" -0.314971622573285 1.56002721779867 -5.5364966832446 3.87596194455704e-08 4.96450674983122e-06 8.31926694688046 "ENSG00000158163.15" "DZIP1L"
"ENSG00000180447.7" -0.423410178609551 4.38192853263968 -5.53173734404548 3.97964122996896e-08 5.0616583699773e-06 8.18710949912093 "ENSG00000180447.7" "GAS1"
"ENSG00000241294.1" -0.911639188618915 0.411399729136893 -5.52831829871753 4.05578009934243e-08 5.12267558658612e-06 8.26895495942368 "ENSG00000241294.1" "IGKV2-24"
"ENSG00000180543.5" -0.500092764627674 4.8907035127959 -5.52622243602514 4.10315024332099e-08 5.14676528451877e-06 8.10623952909007 "ENSG00000180543.5" "TSPYL5"
"ENSG00000211638.2" -1.09632908872753 0.416825941393264 -5.52287616818275 4.17989735253165e-08 5.20712144163326e-06 8.24305919787216 "ENSG00000211638.2" "IGLV8-61"
"ENSG00000106714.17" -0.551883278378485 -1.01627639214504 -5.51187281705979 4.44221463787171e-08 5.48882999236716e-06 8.18198254409468 "ENSG00000106714.17" "CNTNAP3"
"ENSG00000139146.14" -0.341372711866146 5.25624322174791 -5.51089074344444 4.46638904151275e-08 5.48882999236716e-06 8.02053054508718 "ENSG00000139146.14" "SINHCAF"
"ENSG00000162407.9" -0.242172724074718 5.39098029676777 -5.50709002495297 4.56115560777165e-08 5.56767101974166e-06 8.0228362600312 "ENSG00000162407.9" "PLPP3"
"ENSG00000145936.9" -0.385157258496193 2.19869243514315 -5.49782663922497 4.80037713898234e-08 5.82061729358739e-06 8.1070944637412 "ENSG00000145936.9" "KCNMB1"
"ENSG00000101333.17" -0.448818268660543 3.77247025479162 -5.49466415714912 4.88480135519637e-08 5.88375940717295e-06 8.00334487759569 "ENSG00000101333.17" "PLCB4"
"ENSG00000089472.16" -0.341272160179487 4.4345503728526 -5.49314816035891 4.92578104591786e-08 5.89408589889171e-06 7.9773796514078 "ENSG00000089472.16" "HEPH"
"ENSG00000117122.14" -0.402822946876699 4.46758553818338 -5.49086419578601 4.98815083442935e-08 5.92970505729419e-06 7.95362319725943 "ENSG00000117122.14" "MFAP2"
"ENSG00000165197.5" -0.661740736423314 -1.20133321626211 -5.48966197661443 5.02128790016217e-08 5.93033664468504e-06 8.04915398699631 "ENSG00000165197.5" "VEGFD"
"ENSG00000287914.1" 0.709127026666192 0.211616179101912 5.48672620551703 5.10310775671994e-08 5.98808541156272e-06 8.03697295173202 "ENSG00000287914.1" "AL078582.2"
