"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000149451.18" -3.42633779093113 3.10431988602582 -24.1677130586091 5.61791967040737e-64 1.9134418323574e-61 135.236705120704 "ENSG00000149451.18" "ADAM33"
"ENSG00000198885.10" -2.77500116851248 2.07824190405745 -24.1398579773514 6.76094386520578e-64 2.25930333578603e-61 135.034241729478 "ENSG00000198885.10" "ITPRIPL1"
"ENSG00000025423.11" 3.18349630958204 0.806242403456664 23.9991626809364 1.72547669719538e-63 5.65924403407915e-61 134.042362587374 "ENSG00000025423.11" "HSD17B6"
"ENSG00000165795.23" -2.73603371758427 7.13554491228736 -23.9646797289214 2.17170124816121e-63 6.99327287385149e-61 133.842147784747 "ENSG00000165795.23" "NDRG2"
"ENSG00000196549.12" -3.62934334284151 6.13558700491709 -23.9592136810125 2.25237220424025e-63 7.12352930523197e-61 133.824162806313 "ENSG00000196549.12" "MME"
"ENSG00000175063.17" 4.03724425838911 2.58629495093493 23.9235198399757 2.85836181573242e-63 8.88148177516437e-61 133.615455335998 "ENSG00000175063.17" "UBE2C"
"ENSG00000186871.7" 3.05607225335608 1.2582156924628 23.841053676811 4.95965454693113e-63 1.51449037380512e-60 133.022502300504 "ENSG00000186871.7" "ERCC6L"
"ENSG00000077157.22" -2.01423506795915 6.60297498678313 -23.8158325804529 5.87113077571709e-63 1.76243385031738e-60 132.843969442639 "ENSG00000077157.22" "PPP1R12B"
"ENSG00000100307.13" -1.85728323583867 5.2456634094775 -23.7982385199786 6.60472835190936e-63 1.94960573067778e-60 132.743605470701 "ENSG00000100307.13" "CBX7"
"ENSG00000183856.11" 3.7989451284238 3.01758456632571 23.7954008405167 6.73137222590051e-63 1.95441530316269e-60 132.76194262498 "ENSG00000183856.11" "IQGAP3"
"ENSG00000151623.15" -2.4080060060777 3.82791186174405 -23.7693618067902 8.01336442057358e-63 2.28910802020611e-60 132.583194378635 "ENSG00000151623.15" "NR3C2"
"ENSG00000168874.13" -3.85858511515241 2.46313685121881 -23.6981531594668 1.29136337118314e-62 3.63037089952771e-60 132.111876696066 "ENSG00000168874.13" "ATOH8"
"ENSG00000118193.12" 3.79126220054919 1.44073781919315 23.6727355686468 1.53138965796866e-62 4.23788159879421e-60 131.921786042843 "ENSG00000118193.12" "KIF14"
"ENSG00000171848.16" 3.81658175718814 3.73926801870943 23.6690626765055 1.56959322951645e-62 4.27677933661013e-60 131.912864137854 "ENSG00000171848.16" "RRM2"
"ENSG00000094963.14" -3.90598253248961 5.26240358701067 -23.6537668685795 1.73924627388505e-62 4.66724102375426e-60 131.79625666717 "ENSG00000094963.14" "FMO2"
"ENSG00000060718.22" 6.02053559829452 4.1089038949752 23.6317508762953 2.01623269505287e-62 5.32977571075841e-60 131.665848940901 "ENSG00000060718.22" "COL11A1"
"ENSG00000105011.9" 3.0826869415851 2.96041921210428 23.6199978734936 2.18178984883412e-62 5.6826000018678e-60 131.590472177194 "ENSG00000105011.9" "ASF1B"
"ENSG00000165480.16" 3.08338299529184 1.51394076755421 23.5310093768457 3.96778715903833e-62 1.0184562083149e-59 130.968115815637 "ENSG00000165480.16" "SKA3"
"ENSG00000136014.12" -2.80448443619794 -0.242615432700145 -23.508281151254 4.62332791502834e-62 1.16976801004381e-59 130.724455742629 "ENSG00000136014.12" "USP44"
"ENSG00000245025.3" -2.09202983212015 1.18072407417356 -23.5026272509602 4.80262110286773e-62 1.19801721623789e-59 130.743241790086 "ENSG00000245025.3" "AC107959.1"
"ENSG00000182253.15" -3.97424496982713 6.61502454525456 -23.4484879204212 6.91494004547791e-62 1.7009792103536e-59 130.400875291273 "ENSG00000182253.15" "SYNM"
"ENSG00000166803.14" 3.23076264233704 0.757557377566601 23.4167633430711 8.56304233287212e-62 2.07753483229449e-59 130.169543400889 "ENSG00000166803.14" "PCLAF"
"ENSG00000154839.10" 3.18277890099493 1.02864542504995 23.385112853414 1.05999722413209e-61 2.53697443737884e-59 129.974073008906 "ENSG00000154839.10" "SKA1"
"ENSG00000166851.15" 3.17360911054756 2.54071498363774 23.3699706162058 1.17398378910906e-61 2.77232358518807e-59 129.913099856188 "ENSG00000166851.15" "PLK1"
"ENSG00000189134.4" -2.62514781326291 -0.360148351887788 -23.2536675459398 2.57494061065861e-61 6.00062804675983e-59 129.01469404825 "ENSG00000189134.4" "NKAPL"
"ENSG00000133392.18" -3.82152267849463 6.95360599397319 -23.2453040990805 2.72473480245135e-61 6.26724390730077e-59 129.0290713816 "ENSG00000133392.18" "MYH11"
"ENSG00000153291.16" -2.86974371676348 2.14965907255727 -23.2008471680216 3.68063564436146e-61 8.35740229452383e-59 128.769834610462 "ENSG00000153291.16" "SLC25A27"
"ENSG00000152253.9" 2.89844550501484 1.28943634648782 23.1708920233112 4.50795779509006e-61 1.01063848745367e-58 128.540128171035 "ENSG00000152253.9" "SPC25"
"ENSG00000165304.8" 3.56099626682002 2.11278594649634 23.1639250795569 4.72570854551515e-61 1.04621280062024e-58 128.523637701497 "ENSG00000165304.8" "MELK"
"ENSG00000143476.18" 3.21895446775835 3.17402095697789 23.1581217265447 4.91512232013252e-61 1.07471273347984e-58 128.485228622449 "ENSG00000143476.18" "DTL"
"ENSG00000092853.14" 2.97933797657835 1.81186192841064 23.0861097064707 8.00696136473241e-61 1.7294060089119e-58 127.988496673583 "ENSG00000092853.14" "CLSPN"
"ENSG00000137807.16" 2.68708175503567 3.31428083291853 23.0823877054939 8.21162661447705e-61 1.7522423972169e-58 127.972399771083 "ENSG00000137807.16" "KIF23"
"ENSG00000138160.7" 2.61225440843384 3.94934698822051 23.0128952484951 1.31590020331344e-60 2.77451291677194e-58 127.490605675548 "ENSG00000138160.7" "KIF11"
"ENSG00000157456.8" 2.94813810680668 2.81744345635369 23.0061074654548 1.37797159443118e-60 2.87120645987889e-58 127.459727928133 "ENSG00000157456.8" "CCNB2"
"ENSG00000132561.14" -3.16365954880545 6.01218971364792 -22.9951889135901 1.48403599096264e-60 3.03976526770285e-58 127.338900128824 "ENSG00000132561.14" "MATN2"
"ENSG00000109805.10" 3.08611265348841 2.24884738765276 22.994283164055 1.49319393761023e-60 3.03976526770285e-58 127.377951445036 "ENSG00000109805.10" "NCAPG"
"ENSG00000161888.11" 2.91629281799269 1.57503547064131 22.9891538364598 1.54613551349442e-60 3.11177341812496e-58 127.327604361586 "ENSG00000161888.11" "SPC24"
"ENSG00000138778.13" 2.65175851241787 2.90856226335519 22.961581934843 1.86469429587809e-60 3.7107416487974e-58 127.158275232225 "ENSG00000138778.13" "CENPE"
"ENSG00000205221.12" -3.97070061249147 2.49171868485063 -22.9441706929959 2.09896936575969e-60 4.13053849299665e-58 127.040698054094 "ENSG00000205221.12" "VIT"
"ENSG00000158966.16" -2.21514606489054 4.83779244757355 -22.8761551460758 3.33383332273316e-60 6.48851889878319e-58 126.541054820784 "ENSG00000158966.16" "CACHD1"
"ENSG00000111206.13" 3.37307633188019 3.10074844063834 22.8572854681618 3.79082597582905e-60 7.29775204977265e-58 126.448149046734 "ENSG00000111206.13" "FOXM1"
"ENSG00000165810.17" -4.2392920711691 4.20892262313801 -22.8368804832894 4.3559641640598e-60 8.29553562469496e-58 126.301486210076 "ENSG00000165810.17" "BTNL9"
"ENSG00000174371.17" 3.58676486933034 1.74583031098986 22.8305934005613 4.54656724358465e-60 8.56640983522635e-58 126.264530615622 "ENSG00000174371.17" "EXO1"
"ENSG00000137812.20" 3.0660831358562 2.25806162828213 22.8137660993918 5.09887963748534e-60 9.50592181678977e-58 126.154513826578 "ENSG00000137812.20" "KNL1"
"ENSG00000141404.17" -2.4299259698418 2.88933337638153 -22.7847342962066 6.21460598468333e-60 1.14653006869507e-57 125.959322869954 "ENSG00000141404.17" "GNAL"
"ENSG00000158402.20" 3.57676335167441 0.48367773052788 22.6451819866205 1.61113423677007e-59 2.94173180076647e-57 124.9638456268 "ENSG00000158402.20" "CDC25C"
"ENSG00000134057.15" 2.41016599269889 4.27422769462815 22.6184767626314 1.93383408467262e-59 3.49491178302417e-57 124.799845870516 "ENSG00000134057.15" "CCNB1"
"ENSG00000072571.20" 3.25054863012367 1.946109496032 22.5632567531458 2.8215361080082e-59 5.04769959686194e-57 124.448442970012 "ENSG00000072571.20" "HMMR"
"ENSG00000123975.5" 2.45398949026195 3.5150878506124 22.5573672622147 2.93760612543705e-59 5.20279420876156e-57 124.401761492885 "ENSG00000123975.5" "CKS2"
"ENSG00000164611.13" 2.92224927514197 2.62871499908582 22.5283554238586 3.58314933799396e-59 6.28328296289218e-57 124.214081073745 "ENSG00000164611.13" "PTTG1"
